Status,Name,Adv,Date,Key,Contents
Tropical Depression,Eight,4,1998-09-18T15:00:00Z,NA,NA
Tropical Depression,Eight,4A,1998-09-18T18:00:00Z,NA,NA
Tropical Depression,Eight,5,1998-09-18T21:00:00Z,NA,NA
Tropical Depression,Eight,5A,1998-09-19T00:00:00Z,NA,NA
Tropical Depression,Eight,6,1998-09-19T03:00:00Z,NA,NA
Tropical Depression,Eight,6A,1998-09-19T06:00:00Z,NA,NA
Tropical Depression,Eight,7,1998-09-19T09:00:00Z,NA,NA
Tropical Depression,Eight,7A,1998-09-19T12:00:00Z,NA,NA
Tropical Storm,Hermine,8,1998-09-19T15:00:00Z,NA,NA
Tropical Storm,Hermine,8A,1998-09-19T18:00:00Z,NA,NA
Tropical Storm,Hermine,9,1998-09-19T21:00:00Z,NA,NA
Tropical Storm,Hermine,9A,1998-09-20T00:00:00Z,NA,NA
Tropical Storm,Hermine,10,1998-09-20T03:00:00Z,NA,NA
Tropical Storm,Hermine,10A,1998-09-20T06:00:00Z,NA,NA
Tropical Storm,Hermine,11,1998-09-20T09:00:00Z,NA,NA
Tropical Depression,Hermine,11A,1998-09-20T12:00:00Z,NA,NA
Tropical Depression,Hermine,12,1998-09-20T15:00:00Z,NA,NA
Tropical Depression,Nine,1,1998-09-20T15:00:00Z,NA,NA
Tropical Depression,Nine,2,1998-09-20T21:00:00Z,NA,NA
Tropical Storm,Ivan,3,1998-09-21T03:00:00Z,NA,NA
Tropical Storm,Ivan,4,1998-09-21T09:00:00Z,NA,NA
Tropical Storm,Ivan,5,1998-09-21T15:00:00Z,NA,NA
Tropical Storm,Ivan,6,1998-09-21T21:00:00Z,NA,NA
Tropical Storm,Ivan,7,1998-09-22T03:00:00Z,NA,NA
Tropical Storm,Ivan,8,1998-09-22T09:00:00Z,NA,NA
Tropical Storm,Ivan,9,1998-09-22T15:00:00Z,NA,NA
Tropical Storm,Ivan,10,1998-09-22T21:00:00Z,NA,NA
Tropical Storm,Ivan,11,1998-09-23T03:00:00Z,NA,NA
Tropical Storm,Ivan,12,1998-09-23T09:00:00Z,NA,NA
Tropical Storm,Ivan,13,1998-09-23T15:00:00Z,NA,NA
Hurricane,Ivan,14,1998-09-23T21:00:00Z,NA,NA
Hurricane,Ivan,15,1998-09-24T03:00:00Z,NA,NA
Hurricane,Ivan,16,1998-09-24T09:00:00Z,NA,NA
Hurricane,Ivan,17,1998-09-24T15:00:00Z,NA,NA
Hurricane,Ivan,18,1998-09-24T21:00:00Z,NA,NA
Hurricane,Ivan,19,1998-09-25T03:00:00Z,NA,NA
Hurricane,Ivan,20,1998-09-25T09:00:00Z,NA,NA
Hurricane,Ivan,21,1998-09-25T15:00:00Z,NA,NA
Hurricane,Ivan,22,1998-09-25T21:00:00Z,NA,NA
Hurricane,Ivan,23,1998-09-26T03:00:00Z,NA,NA
Hurricane,Ivan,24,1998-09-26T09:00:00Z,NA,NA
Hurricane,Ivan,25,1998-09-26T15:00:00Z,NA,NA
Hurricane,Ivan,26,1998-09-26T21:00:00Z,NA,NA
Tropical Storm,Ivan,27,1998-09-27T03:00:00Z,NA,NA
Tropical Storm,Jeanne,1,1998-09-21T21:00:00Z,NA,NA
Tropical Storm,Jeanne,2,1998-09-22T03:00:00Z,NA,NA
Tropical Storm,Jeanne,3,1998-09-22T09:00:00Z,NA,NA
Tropical Storm,Jeanne,4,1998-09-22T15:00:00Z,NA,NA
Hurricane,Jeanne,5,1998-09-22T21:00:00Z,NA,NA
Hurricane,Jeanne,6,1998-09-23T03:00:00Z,NA,NA
Hurricane,Jeanne,7,1998-09-23T09:00:00Z,NA,NA
Hurricane,Jeanne,8,1998-09-23T15:00:00Z,NA,NA
Hurricane,Jeanne,9,1998-09-23T21:00:00Z,NA,NA
Hurricane,Jeanne,10,1998-09-24T03:00:00Z,NA,NA
Hurricane,Jeanne,11,1998-09-24T09:00:00Z,NA,NA
Hurricane,Jeanne,12,1998-09-24T15:00:00Z,NA,NA
Hurricane,Jeanne,13,1998-09-24T21:00:00Z,NA,NA
Hurricane,Jeanne,14,1998-09-25T03:00:00Z,NA,NA
Hurricane,Jeanne,15,1998-09-25T09:00:00Z,NA,NA
Hurricane,Jeanne,16,1998-09-25T15:00:00Z,NA,NA
Hurricane,Jeanne,17,1998-09-25T21:00:00Z,NA,NA
