Key,Name,Wind,StartDate,EndDate
AL132007,Lorenzo,70,2007-09-25T22:15:00Z,2007-09-28T21:00:00Z
AL132008,Marco,55,2008-10-06T15:00:00Z,2008-10-08T03:00:00Z
AL132010,Karl,105,2010-09-14T21:00:00Z,2010-09-18T09:00:00Z
AL132011,Lee,50,2011-09-02T00:00:00Z,2011-09-05T03:00:00Z
AL132012,Michael,100,2012-09-03T21:00:00Z,2012-09-11T21:00:00Z
AL132013,Lorenzo,45,2013-10-21T15:00:00Z,2013-10-24T15:00:00Z
AL132016,Lisa,45,2016-09-19T21:00:00Z,2016-09-25T03:00:00Z
AL141998,Nicole,65,1998-11-24T12:00:00Z,1998-11-30T15:00:00Z
AL141999,Jose,85,1999-10-17T21:00:00Z,1999-10-25T09:00:00Z
AL142000,Joyce,80,2000-09-25T21:00:00Z,2000-10-02T15:00:00Z
AL142001,Lorenzo,35,2001-10-27T15:00:00Z,2001-10-31T09:00:00Z
AL142002,Fourteen,30,2002-10-14T15:00:00Z,2002-10-16T21:00:00Z
AL142003,Fourteen,30,2003-09-08T15:00:00Z,2003-09-10T21:00:00Z
AL142004,Matthew,40,2004-10-08T21:00:00Z,2004-10-10T15:00:00Z
AL142005,Maria,100,2005-09-01T15:00:00Z,2005-09-10T09:00:00Z
AL142007,Melissa,40,2007-09-28T15:00:00Z,2007-09-30T21:00:00Z
AL142008,Nana,35,2008-10-12T21:00:00Z,2008-10-14T09:00:00Z
AL142010,Lisa,70,2010-09-21T03:00:00Z,2010-09-26T21:00:00Z
AL142011,Maria,70,2011-09-06T21:00:00Z,2011-09-16T21:00:00Z
AL142012,Nadine,80,2012-09-11T15:00:00Z,2012-10-04T15:00:00Z
AL142013,Melissa,55,2013-11-18T15:00:00Z,2013-11-22T03:00:00Z
AL142016,Matthew,140,2016-09-28T15:00:00Z,2016-10-09T21:00:00Z
AL151999,Katrina,35,1999-10-28T21:00:00Z,1999-11-01T21:00:00Z
AL152000,Keith,115,2000-09-28T21:00:00Z,2000-10-06T09:00:00Z
AL152001,Michelle,115,2001-10-29T21:00:00Z,2001-11-06T21:00:00Z
AL152003,Juan,90,2003-09-25T15:00:00Z,2003-09-29T09:00:00Z
AL152004,Nicole,45,2004-10-10T09:00:00Z,2004-10-11T21:00:00Z
AL152005,Nate,80,2005-09-05T21:00:00Z,2005-09-10T15:00:00Z
AL152007,Fifteen,30,2007-10-11T21:00:00Z,2007-10-12T21:00:00Z
AL152008,Omar,110,2008-10-13T15:00:00Z,2008-10-18T15:00:00Z
AL152010,Matthew,45,2010-09-23T18:00:00Z,2010-09-26T15:00:00Z
AL152011,Nate,60,2011-09-07T21:00:00Z,2011-09-12T03:00:00Z
AL152012,Oscar,45,2012-10-03T15:00:00Z,2012-10-05T15:00:00Z
AL152016,Nicole,115,2016-10-04T15:00:00Z,2016-10-18T09:00:00Z
AL161999,Lenny,130,1999-11-13T21:00:00Z,1999-11-21T21:00:00Z
AL162000,Leslie,35,2000-10-04T21:00:00Z,2000-10-07T15:00:00Z
AL162001,Noel,65,2001-11-05T16:00:00Z,2001-11-06T15:00:00Z
AL162003,Kate,110,2003-09-25T21:00:00Z,2003-10-07T21:00:00Z
